food_item,image_found,image_processed,uploaded,drive_link
Paneer Tikka Biryani Chicken Kalimiri Tandoori,True,True,True,https://drive.google.com/file/d/1X4FbUIJZDj0fiD2-1zm8LVERvoK6sGh-/view?usp=drivesdk
Chicken Garlic,True,True,True,https://drive.google.com/file/d/1eV37OXZ94mbGAgnitQakJylIpNSl2F5V/view?usp=drivesdk
Lucknow Chicken Biryani,True,True,True,https://drive.google.com/file/d/1DXTfECYMkpnbCewKvQJrxAa06eeoPWDm/view?usp=drivesdk
Butter Kulcha Chicken Patiala,True,True,True,https://drive.google.com/file/d/1AqmlH6RE0hh4qJjvRj_o6R12pFhQ8jpT/view?usp=drivesdk
Cream of Tomato Soup,True,True,True,https://drive.google.com/file/d/1W_Db9lUV0fvTVtntlOka5_bbjsvNyF0T/view?usp=drivesdk
Veg Hyderabadi Biryani Mushroom Chilli,True,True,True,https://drive.google.com/file/d/1v6-l57sExgqfJrBLbqRcWFdN44lWgovC/view?usp=drivesdk
Chicken Pot Fried Rice,True,True,True,https://drive.google.com/file/d/1UQT_xU1kWcgBSTDpZkTUSL3tpRnf1fUI/view?usp=drivesdk
Egg Schezwan Fried Rice,True,True,True,https://drive.google.com/file/d/1IQv2xEiUUhM72zioB_QhVBOpGpwdqzfJ/view?usp=drivesdk
Egg 65,True,True,True,https://drive.google.com/file/d/1o0BodnN4CuVVLCuHxMfILXDhxw9bm5_A/view?usp=drivesdk
Chicken Keema Masala Paneer Pahadi Kebab,True,True,True,https://drive.google.com/file/d/18-3U4uzvzG-e0Swz2WIIe76HZkzVnymQ/view?usp=drivesdk
Chicken Afghani Mutton Clear Soup,True,True,True,https://drive.google.com/file/d/1sRVnnp_C7YSamtO9Ws2wvezdbKCCjgc7/view?usp=drivesdk
Chicken Tandoor Masala,True,True,True,https://drive.google.com/file/d/1zLPRxFmzuNbGsYlK8QfHd1GIkB4iF_Fw/view?usp=drivesdk
Mushroom Handi Kadai Paneer Masala,True,True,True,https://drive.google.com/file/d/1Gm18kiGFMmiNxyW6tY4tHiqpXtmBhvB2/view?usp=drivesdk
Cheesy Spaghetti,True,True,True,https://drive.google.com/file/d/1QM5vODqsiKOZNIDB-5AcGUmNTDgOXbMY/view?usp=drivesdk
Mutton Masala,True,True,True,https://drive.google.com/file/d/1QUMrhSVnsJ02HSs82yT4PWjeeRhzezcJ/view?usp=drivesdk
